1;100;1;0;0
1;100;2;94;1-2
1;100;3;22;2-3
1;100;4;70;3-4
1;100;5;71;4-5
1;100;6;81;5-6
1;100;7;35;6-7
1;100;8;96;7-8
1;100;9;32;8-9
1;100;10;21;9-10
1;100;11;33;10-11
1;100;12;75;11-12
1;100;13;10;12-13
1;100;14;28;13-14
1;100;15;21;14-15
2;200;16;0;0
2;200;17;76;16-17
2;200;18;43;17-18
2;200;4;47;18-4
2;200;19;16;4-19
2;200;20;80;19-20
2;200;21;19;20-21
2;200;22;24;21-22
2;200;23;84;22-23
2;200;24;100;23-24
3;150;25;0;0
3;150;26;85;25-26
3;150;27;90;26-27
3;150;8;53;27-8
3;150;28;89;8-28
3;150;29;39;28-29
3;150;21;66;29-21
3;150;30;87;21-30
3;150;31;11;30-31
3;150;32;36;31-32
3;150;33;49;32-33
3;150;34;72;33-34
4;90;35;0;0
4;90;36;29;35-36
4;90;37;42;36-37
4;90;38;57;37-38
4;90;11;11;38-11
4;90;39;18;11-39
4;90;40;13;39-40
4;90;21;11;40-21
4;90;41;65;21-41
4;90;42;30;41-42
5;500;43;0;0
5;500;44;28;43-44
5;500;45;85;44-45
5;500;46;44;45-46
5;500;47;21;46-47
5;500;48;68;47-48
5;500;49;97;48-49
5;500;50;41;49-50
