22;1;1;1;0
22;2;2;2;1-2
22;3;-1;3;2-3
22;4;-1;4;3-4
22;5;-1;5;4-5
22;6;6;6;5-6
22;7;7;7;6-7
22;8;-1;8;7-8
22;9;9;9;8-9
22;10;-1;10;9-10
22;11;11;11;10-11
22;38;-1;12;11-38
22;37;37;13;38-37
22;36;-1;14;37-36
22;39;-1;15;36-39
22;40;40;16;39-40
22;21;-1;17;40-21
22;20;20;18;21-20
36;1;1;1;0
36;2;-1;2;1-2
36;3;3;3;2-3
36;4;-1;4;3-4
36;5;-1;5;4-5
36;6;6;6;5-6
36;7;7;7;6-7
36;8;-1;8;7-8
36;9;-1;9;8-9
36;10;10;10;9-10
36;11;-1;11;10-11
36;39;39;12;11-39
36;40;40;13;39-40
36;21;21;14;40-21
36;41;-1;15;21-41
36;27;27;16;41-27
42;1;1;1;0
42;2;-1;2;1-2
42;3;3;3;2-3
42;4;-1;4;3-4
42;5;-1;5;4-5
42;6;6;6;5-6
42;7;-1;7;6-7
42;8;-1;8;7-8
42;27;27;9;8-27
42;26;26;10;27-26
42;28;28;11;26-28
42;29;29;12;28-29
42;21;21;13;29-21
42;20;20;14;21-20
50;1;1;1;0
50;2;2;2;1-2
50;3;-1;3;2-3
50;4;4;4;3-4
50;5;5;5;4-5
50;6;6;6;5-6
50;7;7;7;6-7
50;8;8;8;7-8
50;28;28;9;8-28
50;29;29;10;28-29
50;21;-1;11;29-21
50;22;22;12;21-22
50;23;-1;13;22-23
50;30;-1;14;23-30
50;31;-1;15;30-31
50;32;-1;16;31-32
50;33;33;17;32-33
85;1;1;1;0
85;2;-1;2;1-2
85;3;3;3;2-3
85;4;-1;4;3-4
85;19;-1;5;4-19
85;20;-1;6;19-20
85;21;-1;7;20-21
85;29;29;8;21-29
85;28;28;9;29-28
85;8;8;10;28-8
85;7;-1;11;8-7
85;6;6;12;7-6
85;9;9;13;6-9
85;10;-1;14;9-10
85;11;11;15;10-11
85;12;12;16;11-12
91;1;1;1;12-1
91;2;2;2;1-2
91;3;-1;3;2-3
91;4;-1;4;3-4
91;19;19;5;4-19
91;20;20;6;19-20
91;21;-1;7;20-21
91;29;29;8;21-29
91;28;-1;9;29-28
91;8;8;10;28-8
91;9;9;11;8-9
91;10;-1;12;9-10
91;11;-1;13;10-11
91;12;-1;14;11-12
91;13;-1;15;12-13
91;14;14;16;13-14
91;38;-1;17;14-38
91;37;37;18;38-37
91;36;36;19;37-36
92;1;1;1;0
92;2;-1;2;1-2
92;3;-1;3;2-3
92;4;4;4;3-4
92;19;19;5;4-19
92;20;20;6;19-20
92;21;-1;7;20-21
92;29;29;8;21-29
92;28;-1;9;29-28
92;8;8;10;28-8
92;9;-1;11;8-9
92;10;10;12;9-10
92;11;-1;13;10-11
92;12;-1;14;11-12
92;13;-1;15;12-13
92;14;-1;16;13-14
92;38;-1;17;14-38
92;37;-1;18;38-37
92;36;36;19;37-36
92;35;35;20;36-35
105;1;1;1;0
105;2;2;2;1-2
105;3;-1;3;2-3
